Number in Figure 4	Input step	Output step	Tool suites	Corresponding RRID or biotools ID		
9	(Meta)genomics: Assemblies / Metagenome assembled genomes	(Meta)genomics: Reconstructed annotated complex & unknown genomes / Annotated gene catalog /   Numerous functional elements /  Antibiotic Resistance Genes /  Molecular typing	pyMLST	biotools:pymlst		
9	(Meta)genomics: Assemblies / Metagenome assembled genomes	(Meta)genomics: Reconstructed annotated complex & unknown genomes / Annotated gene catalog /   Numerous functional elements /  Antibiotic Resistance Genes /  Molecular typing	MLST	RRID:SCR_010245		
9	(Meta)genomics: Assemblies / Metagenome assembled genomes	(Meta)genomics: Reconstructed annotated complex & unknown genomes / Annotated gene catalog /   Numerous functional elements /  Antibiotic Resistance Genes /  Molecular typing	SISTR	RRID:SCR_024342		
10	(Meta)genomics: Assemblies / Metagenome assembled genomes	(Meta)genomics: Reconstructed annotated complex & unknown genomes / Annotated gene catalog /   Numerous functional elements /  Antibiotic Resistance Genes	Integron Finder	biotools:integron_finder		
10	(Meta)genomics: Assemblies / Metagenome assembled genomes	(Meta)genomics: Reconstructed annotated complex & unknown genomes / Annotated gene catalog /   Numerous functional elements /  Antibiotic Resistance Genes	CRISPRCasFinder	biotools:CRISPRCasFinder		
10	(Meta)genomics: Assemblies / Metagenome assembled genomes	(Meta)genomics: Reconstructed annotated complex & unknown genomes / Annotated gene catalog /   Numerous functional elements /  Antibiotic Resistance Genes	MITOS	biotools:mitos		
11	(Meta)genomics: Assemblies / Metagenome assembled genomes	(Meta)genomics: Reconstructed annotated complex & unknown genomes / Annotated gene catalog /   Numerous functional elements /  Antibiotic Resistance Genes /  Biosythetic gene	antiSMASH	RRID:SCR_022060		
11	(Meta)genomics: Assemblies / Metagenome assembled genomes	(Meta)genomics: Reconstructed annotated complex & unknown genomes / Annotated gene catalog /   Numerous functional elements /  Antibiotic Resistance Genes /  Biosythetic gene	HMMER	RRID:SCR_005305		
12	(Meta)genomics: Assemblies / Metagenome assembled genomes	(Meta)genomics: Reconstructed annotated complex & unknown genomes / Annotated gene catalog /   Numerous functional elements /  Antibiotic Resistance Genes	Gene Ontology	RRID:SCR_002811		
12	(Meta)genomics: Assemblies / Metagenome assembled genomes	(Meta)genomics: Reconstructed annotated complex & unknown genomes / Annotated gene catalog /   Numerous functional elements /  Antibiotic Resistance Genes	KEGG	RRID:SCR_012773		
13	Genomics: Annotated gene catalog	Genomics: Compared genes	Orthofinder	RRID:SCR_017118		 
13	Genomics: Annotated gene catalog	Genomics: Compared genes	Proteinortho			
13	Genomics: Annotated gene catalog	Genomics: Compared genes	Roary	RRID:SCR_018172		
13	Genomics: Annotated gene catalog	Genomics: Compared genes	Mauve	RRID:SCR_012852		
13	Genomics: Annotated gene catalog	Genomics: Compared genes	Clustal (Omega)	RRID:SCR_001591		
13	Genomics: Annotated gene catalog	Genomics: Compared genes	FastTree	RRID:SCR_015501		
13	Genomics: Annotated gene catalog	Genomics: Compared genes	RAxML	RRID:SCR_006086		
13	Genomics: Annotated gene catalog	Genomics: Compared genes	Circos	RRID:SCR_011798		
13	Genomics: Annotated gene catalog	Genomics: Compared genes	PPanGGOLiN	biotools:PPanGGOLiN		
13	Genomics: Annotated gene catalog	Genomics: Compared genes	Panaroo	RRID:SCR_021090		
14	Genomics: Clean reads	Genomics: Mapped reads	BWA	RRID:SCR_010910		
14	Genomics: Clean reads	Genomics: Mapped reads	Bowtie	RRID:SCR_005476		
14	Genomics: Clean reads	Genomics: Mapped reads	minimap	RRID:SCR_018550		
14	Genomics: Clean reads	Genomics: Mapped reads	Picard Tools	RRID:SCR_006525		
15	Genomics: Mapped reads	Genomics: Called variants	FreeBayes	RRID:SCR_010761		
15	Genomics: Mapped reads	Genomics: Called variants	GATK	RRID:SCR_001876		
15	Genomics: Mapped reads	Genomics: Called variants	Bcftools	RRID:SCR_005227		
15	Genomics: Mapped reads	Genomics: Called variants	Snippy	RRID:SCR_023572		
15	Genomics: Mapped reads	Genomics: Called variants	medaka	biotools:medaka		
15	Genomics: Mapped reads	Genomics: Called variants	Clair3	RRID:SCR_026063		
16	Genomics: Called variants	Genomics: Clean and annotated variants	VCFtools	RRID:SCR_001235		
16	Genomics: Called variants	Genomics: Clean and annotated variants	SnpSift	RRID:SCR_015624		
16	Genomics: Called variants	Genomics: Clean and annotated variants	SnpEff	RRID:SCR_005191		
16	Genomics: Called variants	Genomics: Clean and annotated variants	Samtools	RRID:SCR_002105		
17	Transcriptomics: Clean reads	Transcriptomics: Mapped reads	STAR	RRID:SCR_004463		
17	Transcriptomics: Clean reads	Transcriptomics: Mapped reads	HISAT	RRID:SCR_015530		
17	Transcriptomics: Clean reads	Transcriptomics: Mapped reads	Bowtie2	RRID:SCR_016368		
18	Transcriptomics: Mapped reads	Transcriptomics: Gene counts	featureCounts	RRID:SCR_012919		
18	Transcriptomics: Mapped reads	Transcriptomics: Gene counts	HTSeq	RRID:SCR_005514		
19	Transcriptomics: Gene counts	Transcriptomics: Differentially expressed genes	edgeR	RRID:SCR_012802		
19	Transcriptomics: Gene counts	Transcriptomics: Differentially expressed genes	DESeq2	RRID:SCR_015687		
20	Transcriptomics: Gene counts	Transcriptomics: Differentially expressed transcripts	StringTie	RRID:SCR_016323		
20	Transcriptomics: Gene counts	Transcriptomics: Differentially expressed transcripts	GFFCompare	biotools:gffcompare		
20	Transcriptomics: Gene counts	Transcriptomics: Differentially expressed transcripts	Cufflinks	RRID:SCR_014597		
21	(Meta)proteomics: Raw data	(Meta)proteomics: Controlled mass spectra	msconvert	biotools:msconvert		
21	(Meta)proteomics: Raw data	(Meta)proteomics: Controlled mass spectra	OpenMS	RRID:SCR_012042		
22	(Meta)proteomics: Controlled mass spectra /  Annotated gene catalog / Customised database	(Meta)proteomics: Microbial peptides	SearchGUI	RRID:SCR_012054		
22	(Meta)proteomics: Controlled mass spectra /  Annotated gene catalog / Customised database	(Meta)proteomics: Microbial peptides	PeptideShaker	RRID:SCR_002520		
22	(Meta)proteomics: Controlled mass spectra /  Annotated gene catalog / Customised database	(Meta)proteomics: Microbial peptides	MaxQuant	RRID:SCR_014485		
22	(Meta)proteomics: Controlled mass spectra /  Annotated gene catalog / Customised database	(Meta)proteomics: Microbial peptides	FragPipe	RRID:SCR_022864		
23	(Meta)proteomics: Microbial peptides	(Meta)proteomics: Quantified microbial peptides /  Protein groups	MaxQuant	RRID:SCR_014485		
23	(Meta)proteomics: Microbial peptides	(Meta)proteomics: Quantified microbial peptides /  Protein groups	PepQuery	biotools:PepQuery		
23	(Meta)proteomics: Microbial peptides	(Meta)proteomics: Quantified microbial peptides /  Protein groups	FragPipe	RRID:SCR_022864		
23	(Meta)proteomics: Microbial peptides	(Meta)proteomics: Quantified microbial peptides /  Protein groups	MSstatsTMT	biotools:msstatstmt		
23	(Meta)proteomics: Microbial peptides	(Meta)proteomics: Quantified microbial peptides /  Protein groups	iTRAQ	biotools:itraq		
23	(Meta)proteomics: Microbial peptides	(Meta)proteomics: Quantified microbial peptides /  Protein groups	UniPept	RRID:SCR_024987		
24	(Meta)proteomics: Protein groups	(Meta)proteomics: Differential features /  Visualisations	MSStats	RRID:SCR_014353		
25	Metabarcoding: Raw reads /  Clean, merged, amplicons /  OTUs/ASVs /   Taxonomic tables	Metabarcoding: Clean, merged, amplicons /  OTUs/ASVs /   Taxonomic tables /  Diversity metrics /  Community profile visualisations /  Differential features 	QIIME2	RRID:SCR_008249		
25	Metabarcoding: Raw reads /  Clean, merged, amplicons /  OTUs/ASVs /   Taxonomic tables	Metabarcoding: Clean, merged, amplicons /  OTUs/ASVs /   Taxonomic tables /  Diversity metrics /  Community profile visualisations /  Differential features 	dada2	RRID:SCR_023519		
25	Metabarcoding: Raw reads /  Clean, merged, amplicons /  OTUs/ASVs /   Taxonomic tables	Metabarcoding: Clean, merged, amplicons /  OTUs/ASVs /   Taxonomic tables /  Diversity metrics /  Community profile visualisations /  Differential features 	LotuS	biotools:LOTUS		
25	Metabarcoding: Raw reads /  Clean, merged, amplicons /  OTUs/ASVs /   Taxonomic tables	Metabarcoding: Clean, merged, amplicons /  OTUs/ASVs /   Taxonomic tables /  Diversity metrics /  Community profile visualisations /  Differential features 	mothur	RRID:SCR_011947		
25	Metabarcoding: Raw reads /  Clean, merged, amplicons /  OTUs/ASVs /   Taxonomic tables	Metabarcoding: Clean, merged, amplicons /  OTUs/ASVs /   Taxonomic tables /  Diversity metrics /  Community profile visualisations /  Differential features 	mOTUs	bio.tools:motus		
25	Metabarcoding: Raw reads /  Clean, merged, amplicons /  OTUs/ASVs /   Taxonomic tables	Metabarcoding: Clean, merged, amplicons /  OTUs/ASVs /   Taxonomic tables /  Diversity metrics /  Community profile visualisations /  Differential features 	FROGs	biotools:frogs		
26	Metabarcoding: Taxonomic tables	Metabarcoding: Functional tables	Picrust	RRID:SCR_016855		
27	Metamicrobiome: Metabarcoding / Metagenomics / Metatranscriptomics / Metaproteomics: Differential features /  Taxonomic tables	Metabarcoding / Metagenomics: Differential features	MaAsLin2	RRID:SCR_023241		
27	Metamicrobiome: Metabarcoding / Metagenomics / Metatranscriptomics / Metaproteomics: Differential features /  Taxonomic tables	Metabarcoding / Metagenomics: Differential features	edgeR	RRID:SCR_012802		
